model,score,id,team
368923_HCMUS_TheFangs,0.1516907875507338,368923,HCMUS_TheFangs
368751_HCMUS_TheFangs,0.1506979457288214,368751,HCMUS_TheFangs
368967_HCMUS_TheFangs,0.1469933789113671,368967,HCMUS_TheFangs
368474_HCMUS_TheFangs,0.1469933789113671,368474,HCMUS_TheFangs
368507_HCMUS_TheFangs,0.1469933789113671,368507,HCMUS_TheFangs
369015_HCMUS_TheFangs,0.1469933789113671,369015,HCMUS_TheFangs
368551_HCMUS_TheFangs,0.1496928966494505,368551,HCMUS_TheFangs
368643_HCMUS_TheFangs,0.1469196643754092,368643,HCMUS_TheFangs
368578_HCMUS_TheFangs,0.1495978530703856,368578,HCMUS_TheFangs
368622_HCMUS_TheFangs,0.1466632538615707,368622,HCMUS_TheFangs
368628_HCMUS_TheFangs,0.1495127423030618,368628,HCMUS_TheFangs
357512_HCMUS_TheFangs,0.1451543562745621,357512,HCMUS_TheFangs
359198_HCMUS_TheFangs,0.1450854012384453,359198,HCMUS_TheFangs
357906_HCMUS_TheFangs,0.1450853788103907,357906,HCMUS_TheFangs
359921_HCMUS_TheFangs,0.1436819394899312,359921,HCMUS_TheFangs
358102_HCMUS_TheFangs,0.1420116117862664,358102,HCMUS_TheFangs
359946_HCMUS_TheFangs,0.1418701285242965,359946,HCMUS_TheFangs
358103_HCMUS_TheFangs,0.1418701285242965,358103,HCMUS_TheFangs
358089_HCMUS_TheFangs,0.1413042102415405,358089,HCMUS_TheFangs
359914_HCMUS_TheFangs,0.1413042102415405,359914,HCMUS_TheFangs
364445_HCMUS_TheFangs,0.1413042102415405,364445,HCMUS_TheFangs
359962_HCMUS_TheFangs,0.1413042102415405,359962,HCMUS_TheFangs
357967_HCMUS_TheFangs,0.1408310282449661,357967,HCMUS_TheFangs
357961_HCMUS_TheFangs,0.1406286255886479,357961,HCMUS_TheFangs
369017_HCMUS_TheFangs,0.1382213152485183,369017,HCMUS_TheFangs
369130_HCMUS_TheFangs,0.1381889562576166,369130,HCMUS_TheFangs
361485_HCMUS_TheFangs,0.1424466254748049,361485,HCMUS_TheFangs
369338_HCMUS_TheFangs,0.13778528780682,369338,HCMUS_TheFangs
369019_HCMUS_TheFangs,0.1379088206846821,369019,HCMUS_TheFangs
370005_HCMUS_TheFangs,0.1374531387214731,370005,HCMUS_TheFangs
369016_HCMUS_TheFangs,0.1376561782368322,369016,HCMUS_TheFangs
369208_HCMUS_TheFangs,0.1374156415314423,369208,HCMUS_TheFangs
369087_HCMUS_TheFangs,0.1374156415314423,369087,HCMUS_TheFangs
336155_all_awareness,0.1396663918577936,336155,all_awareness
370219_HCMUS_TheFangs,0.1364345715749993,370219,HCMUS_TheFangs
370222_HCMUS_TheFangs,0.1362326292673087,370222,HCMUS_TheFangs
370220_HCMUS_TheFangs,0.1358028663758984,370220,HCMUS_TheFangs
369672_HCMUS_TheFangs,0.1366685066701515,369672,HCMUS_TheFangs
369767_HCMUS_TheFangs,0.1359839199720793,369767,HCMUS_TheFangs
369662_HCMUS_TheFangs,0.1359543072005311,369662,HCMUS_TheFangs
357279_HCMUS_TheFangs,0.1354563525857104,357279,HCMUS_TheFangs
371331_HCMUS_TheFangs,0.1359857289905576,371331,HCMUS_TheFangs
371331_HCMUS_TheFangs,0.1359857289905576,371331,HCMUS_TheFangs
370263_HCMUS_TheFangs,0.1350107199537588,370263,HCMUS_TheFangs
357280_HCMUS_TheFangs,0.1346751020214934,357280,HCMUS_TheFangs
369592_HCMUS_TheFangs,0.1345670043727782,369592,HCMUS_TheFangs
357286_HCMUS_TheFangs,0.134374088570415,357286,HCMUS_TheFangs
357276_HCMUS_TheFangs,0.1347125348866279,357276,HCMUS_TheFangs
371841_HCMUS_TheFangs,0.1352934769599164,371841,HCMUS_TheFangs
359096_HCMUS_TheFangs,0.1356609330873787,359096,HCMUS_TheFangs
370718_HCMUS_TheFangs,0.1347705996849523,370718,HCMUS_TheFangs
371840_HCMUS_TheFangs,0.1350324161380625,371840,HCMUS_TheFangs
374621_HCMUS_TheFangs,0.1351639874176888,374621,HCMUS_TheFangs
369603_HCMUS_TheFangs,0.1341779591329592,369603,HCMUS_TheFangs
369603_HCMUS_TheFangs,0.1341779591329592,369603,HCMUS_TheFangs
357284_HCMUS_TheFangs,0.1339843683773932,357284,HCMUS_TheFangs
370717_HCMUS_TheFangs,0.1345891467238445,370717,HCMUS_TheFangs
398244_HCMUS_TheFangs,0.1347110485678269,398244,HCMUS_TheFangs
370228_HCMUS_TheFangs,0.133677575577762,370228,HCMUS_TheFangs
374623_HCMUS_TheFangs,0.134795474150405,374623,HCMUS_TheFangs
370770_HCMUS_TheFangs,0.1343981730880871,370770,HCMUS_TheFangs
361509_HCMUS_TheFangs,0.1387751872837016,361509,HCMUS_TheFangs
370769_HCMUS_TheFangs,0.1342673264494697,370769,HCMUS_TheFangs
371329_HCMUS_TheFangs,0.1347235338072802,371329,HCMUS_TheFangs
371338_HCMUS_TheFangs,0.1346879373172274,371338,HCMUS_TheFangs
371332_HCMUS_TheFangs,0.1345443167324746,371332,HCMUS_TheFangs
371844_HCMUS_TheFangs,0.134527448988168,371844,HCMUS_TheFangs
371842_HCMUS_TheFangs,0.1344285149955048,371842,HCMUS_TheFangs
371843_HCMUS_TheFangs,0.1344018683517764,371843,HCMUS_TheFangs
374338_HCMUS_TheFangs,0.1341959706229123,374338,HCMUS_TheFangs
370264_HCMUS_TheFangs,0.1338199569031044,370264,HCMUS_TheFangs
398166_HCMUS_TheFangs,0.1340222188288883,398166,HCMUS_TheFangs
411514_HCMUS_TheFangs,0.1340222188288883,411514,HCMUS_TheFangs
371333_HCMUS_TheFangs,0.1340222188288883,371333,HCMUS_TheFangs
361659_HCMUS_TheFangs,0.1334940156629456,361659,HCMUS_TheFangs
376888_HCMUS_TheFangs,0.1314321430838242,376888,HCMUS_TheFangs
401179_HCMUS_TheFangs,0.1328516404906351,401179,HCMUS_TheFangs
412192_HCMUS_TheFangs,0.1312948311319941,412192,HCMUS_TheFangs
374624_HCMUS_TheFangs,0.1311415326309168,374624,HCMUS_TheFangs
361555_HCMUS_TheFangs,0.1348330395862173,361555,HCMUS_TheFangs
374312_HCMUS_TheFangs,0.1306033079788179,374312,HCMUS_TheFangs
401230_HCMUS_TheFangs,0.1314952565758053,401230,HCMUS_TheFangs
404259_alluding123,0.1304924281314974,404259,alluding123
406439_alluding123,0.1304924281314974,406439,alluding123
374311_HCMUS_TheFangs,0.1298724145320869,374311,HCMUS_TheFangs
374333_HCMUS_TheFangs,0.1298724145320869,374333,HCMUS_TheFangs
